Feature,Importance,Relationship,Sl.No,Feature,Importance,Relationship,Descriptions,Sl.No,Feature,Data Visualization,
L2_CLEAN_GAS_ANALYSIS_O2,0.00137164,Indirect,,,,,,,,,
BOSH_MGO_KGTHM,0.001367977,Direct,,,,,,,,,
DESCENT_RATE,0.001351462,Direct,,,,,,,,,
IN_SL_K2O_PER,0.001348398,Direct,,,,,,,,,
FE_KG_2,0.001346283,Direct,,,,,,,,,
MNOXIDE_KG,0.001341732,Direct,,,,,,,,,
SILICA_KG,0.001340759,Direct,,,,,,,,,
L2_K_FACTOR_2,0.001333474,Direct,,,,,,,,,
NUT_COKE_KG,0.001317365,Direct,,,,,,,,,
SINTER_KG_1,0.00128788,Direct,,,,,,,,,
ASH_KG,0.00127393,Direct,,,,,,,,,
SIO2_KGTHM_1,0.001257785,Direct,,,,,,,,,
BOSH_SILICA_KGTHM_1,0.001248067,Direct,,,,,,,,,
SIO2_KGTHM_2,0.001235292,Direct,,,,,,,,,
HM_KG,0.001221883,Direct,,,,,,,,,
FE2O3_KG,0.001221553,Direct,,,,,,,,,
BOSH_SILICA_KGTHM_2,0.001210656,Direct,,,,,,,,,
MAGNESIA_KG_2,0.001195857,Direct,,,,,,,,,
NUT_COKE_KG_2,0.001174797,Direct,,,,,,,,,
UPTAKE_AVG,0.001168317,Direct,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_J_2,0.001123338,Indirect,,,,,,,,,
FE_KG,0.001121344,Direct,,,,,,,,,
CAO_KGTHM_1,0.001090877,Direct,,,,,,,,,
BOSH_CAO_KGTHM_1,0.001087832,Direct,,,,,,,,,
ORE_TO_COKE_RATIO_1,0.001082008,Direct,,,,,,,,,
HM_KG_1,0.001070398,Direct,,,,,,,,,
FE2O3_KG_1,0.001070393,Direct,,,,,,,,,
FE_KG_1,0.001037588,Direct,,,,,,,,,
IN_HM_P_PER_1,0.001034005,Direct,,,,,,,,,
FEO_KG_2,0.001017185,Direct,,,,,,,,,
MAGNESIA_KG_1,0.000969533,Direct,,,,,,,,,
MGO_KGTHM_2,0.000962318,Direct,,,,,,,,,
BOSH_MGO_KGTHM_2,0.000960711,Direct,,,,,,,,,
UPTAKE_AVG_1,0.000959517,Direct,,,,,,,,,
FEO_KG_1,0.000944587,Direct,,,,,,,,,
L2_AVG_STAVE_TEMP_S1_2,0.000931375,Direct,,,,,,,,,
NUT_COKE_KG_1,0.000908822,Direct,,,,,,,,,
SILICA_KG_2,0.000895007,Direct,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_H,0.000886902,Direct,,,,,,,,,
IN_SL_K2O_PER_1,0.000885709,Direct,,,,,,,,,
IN_SL_FEO_PER,0.000876583,Indirect,,,,,,,,,
IN_SL_P_PER_1,0.000868649,Indirect,,,,,,,,,
EXTRA_COKE_RATE_KGTHM_2,0.000815967,Direct,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_G_1,0.000762794,Direct,,,,,,,,,
SL_VOL_KG_THM,0.000743811,Direct,,,,,,,,,
BOSH_SLAG_VOL_KGTHM,0.000733069,Direct,,,,,,,,,
FEO_KG,0.00071149,Direct,,,,,,,,,
L2_AVG_TGT_1,0.000683572,Direct,,,,,,,,,
IN_SL_P_PER_2,0.000661351,Indirect,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_J_1,0.000640297,Indirect,,,,,,,,,
CAO_KG_1,0.000595613,Direct,,,,,,,,,
L2_AVG_TGT,0.00058894,Direct,,,,,,,,,
B4_IN_CDI_2,0.000580083,Direct,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_J,0.00056602,Direct,,,,,,,,,
S_SINTER_KG,0.000548479,Direct,,,,,,,,,
L2_CLEAN_GAS_ANALYSIS_O2_1,0.000539505,Direct,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_H_1,0.000522123,Indirect,,,,,,,,,
IN_SL_FEO_PER_1,0.000520589,Indirect,,,,,,,,,
